Cod_Interaguas;Código Ponto;Status Ponto;Data Coleta;Hora Coleta;Oxigênio Dissolvido mg/l;Escherichia coli** UFC/100mL;PH U.pH;Temperatura Da Agua C°;Nitrogênio Total;Nitrogênio-Nitrito mg/l;Nitrogênio-Nitrato mg/L;Nitrogênio Kjeldahl mg/l;Nitrogênio Amoniacal mg/L;Fósforo Total mg/l;Turbidez (UNT);Sólido Total;;;;;;Oxigênio Dissolvido mg/l;Escherichia coli** UFC/100mL;PH U.pH;Temperatura Da Agua C°;Nitrogênio Total;Fósforo Total mg/l        ;Turbidez (UNT)        ;Sólido Total;Total
206;CUBA02700;Ativo;08/03/2023;11:15;9,30;600,00;6,75;19,00;2,22;0,01;0,21;1,00;1,00;0,02;4,03;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,528;2,967;1,282;1,382;1,092;0,650;1,134;1,422;9,191
206;CUBA02700;Ativo;13/06/2023;09:56;8,70;860,00;6,92;19,00;2,27;0,01;0,26;1,00;1,00;0,02;1,16;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,508;3,154;1,286;1,382;1,094;0,650;1,013;1,422;8,674
206;CUBA02700;Ativo;12/09/2023;10:38;9,20;144,00;6,99;19,00;2,28;0,01;0,27;1,00;1,00;0,02;1,00;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,524;2,328;1,288;1,382;1,095;0,650;1,000;1,422;6,396
206;CUBA02700;Ativo;05/12/2023;10:13;8,50;208,00;6,86;22,00;2,33;0,01;0,32;1,00;1,00;0,03;1,75;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,502;2,478;1,284;1,405;1,098;0,680;1,052;1,422;7,494
206;CUBA02700;Ativo;12/03/2024;13:05;8,80;204,00;6,61;22,00;2,29;0,01;0,28;1,00;1,00;0,04;4,24;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,512;2,470;1,278;1,405;1,095;0,702;1,139;1,422;8,348
206;CUBA02700;Ativo;08/05/2024;09:43;8,70;232,00;7,01;20,00;2,27;0,01;0,26;1,00;1,00;0,02;2,41;74;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,508;2,524;1,288;1,390;1,094;0,650;1,082;1,473;7,737
206;CUBA02700;Ativo;17/09/2024;10:35;9,60;540,00;6,08;16,00;2,45;0,01;0,44;1,00;1,00;0,02;13,20;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,537;2,914;1,264;1,357;1,104;0,650;1,261;1,422;9,890
206;CUBA02700;Ativo;10/12/2024;10:41;8,80;800,00;6,69;20,00;2,34;0,01;0,33;1,00;1,00;0,02;1,22;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,512;3,115;1,280;1,390;1,098;0,650;1,018;1,422;8,666
206;CUBA02700;Ativo;11/03/2025;13:48;9,10;220,00;7,10;24,00;2,25;0,01;0,24;1,00;1,00;0,02;1,22;102;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,521;2,502;1,290;1,418;1,093;0,650;1,018;1,516;7,644
206;CUBA02700;Ativo;03/06/2025;12:55;8,90;124,00;6,87;20,00;2,32;0,01;0,31;1,00;1,00;0,02;1,37;60;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,515;2,269;1,285;1,390;1,097;0,650;1,029;1,446;6,514
206;CUBA02700;Ativo;02/09/2025;13:42;9,98;132,00;7,34;21,00;2,24;0,01;0,23;1,00;1,00;0,02;1,02;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,548;2,293;1,296;1,398;1,093;0,650;1,002;1,422;6,511
206;CUBA02700;Ativo;02/12/2025;10:03;8,03;46,00;6,84;22,00;2,29;0,01;0,28;1,00;1,00;0,02;1,03;50;Rio Cubatão - CUBA;Rio (Lótico);Classe 2;CUBATAO;SP;1,486;1,917;1,284;1,405;1,095;0,650;1,003;1,422;5,219
